timestamp,wheel,pwm_command,steady_encoder,peak_encoder,sample_count,repeat_count,stop_flag_seen,deadzone_break_pwm
2026-03-26 18:42:33,left,0,0.000,0.000,6,2,0,
2026-03-26 18:42:36,left,500,0.000,0.000,7,2,0,
2026-03-26 18:42:39,left,1000,0.000,0.000,7,2,0,
2026-03-26 18:42:42,left,1500,0.000,0.000,6,2,0,
2026-03-26 18:42:44,left,2000,25.355,25.712,6,2,0,2000
2026-03-26 18:42:47,left,2500,32.533,33.031,6,2,0,
2026-03-26 18:42:50,left,3000,38.664,39.571,6,2,0,
2026-03-26 18:42:53,left,3500,44.194,45.400,7,2,0,
2026-03-26 18:42:56,left,4000,51.814,51.983,7,2,0,
2026-03-26 18:42:59,left,4500,58.734,59.411,7,2,0,
2026-03-26 18:43:02,left,5000,65.746,66.562,6,2,0,
2026-03-26 18:43:05,left,5500,72.752,73.764,8,2,0,
2026-03-26 18:43:08,left,6000,79.183,80.185,7,2,0,
2026-03-26 18:43:10,left,6500,85.854,86.818,7,2,0,
2026-03-26 18:43:13,left,7000,92.354,93.310,7,2,0,
2026-03-26 18:43:16,left,7500,97.164,98.616,6,2,0,
2026-03-26 18:43:19,left,8000,102.981,103.801,7,2,0,
2026-03-26 18:43:22,left,8500,107.623,110.258,7,2,0,
2026-03-26 18:43:25,left,9000,114.096,115.253,6,2,0,
2026-03-26 18:43:28,left,9500,118.740,120.053,6,2,0,
2026-03-26 18:43:31,left,10000,123.175,124.598,6,2,0,
2026-03-26 18:43:34,right,0,0.000,0.000,7,2,0,
2026-03-26 18:43:37,right,500,0.000,0.000,7,2,0,
2026-03-26 18:43:40,right,1000,0.000,0.000,7,2,0,
2026-03-26 18:43:43,right,1500,0.000,0.000,6,2,0,
2026-03-26 18:43:46,right,2000,11.606,11.670,7,2,0,2000
2026-03-26 18:43:49,right,2500,30.583,30.854,7,2,0,
2026-03-26 18:43:52,right,3000,38.595,39.172,7,2,0,
2026-03-26 18:43:54,right,3500,45.728,46.635,7,2,0,
2026-03-26 18:43:58,right,4000,52.928,53.344,7,2,0,
2026-03-26 18:44:01,right,4500,59.902,61.173,7,2,0,
2026-03-26 18:44:03,right,5000,67.242,67.712,7,2,0,
2026-03-26 18:44:06,right,5500,74.954,75.321,6,2,0,
2026-03-26 18:44:09,right,6000,82.431,83.140,7,2,0,
2026-03-26 18:44:12,right,6500,89.531,90.140,6,2,0,
2026-03-26 18:44:15,right,7000,97.227,97.404,7,2,0,
2026-03-26 18:44:18,right,7500,103.181,103.258,6,2,0,
2026-03-26 18:44:21,right,8000,108.983,110.373,7,2,0,
2026-03-26 18:44:24,right,8500,116.631,117.394,7,2,0,
2026-03-26 18:44:27,right,9000,123.101,123.705,8,2,0,
2026-03-26 18:44:30,right,9500,129.356,130.111,6,2,0,
2026-03-26 18:44:33,right,10000,136.112,136.390,8,2,0,
