timestamp,wheel,pwm_command,steady_encoder,peak_encoder,sample_count,repeat_count,stop_flag_seen,deadzone_break_pwm
2026-04-07 20:56:27,left,0,0.000,0.000,10,2,0,
2026-04-07 20:56:30,left,500,0.000,0.000,9,2,0,
2026-04-07 20:56:33,left,1000,0.000,0.343,10,2,0,
2026-04-07 20:56:36,left,1500,0.000,0.169,10,2,0,
2026-04-07 20:56:39,left,2000,20.673,21.261,10,2,0,2000
2026-04-07 20:56:42,left,2500,26.432,27.404,8,2,0,
2026-04-07 20:56:45,left,3000,30.955,32.865,10,2,0,
2026-04-07 20:56:48,left,3500,36.091,37.717,10,2,0,
2026-04-07 20:56:50,left,4000,41.515,43.008,9,2,0,
2026-04-07 20:56:54,left,4500,47.665,48.402,9,2,0,
