timestamp,stage,pid_label,trial_label,wheel,target_speed,sample_count,mean_speed,segment_score,rise_ratio,settle_ratio,overshoot,steady_error
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,left,15.0,12,14.3468376,6.3562481025641056,0.12,0.52,1.4006800000000013,0.3930061538461536
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,left,25.0,38,22.19863932692307,24.976010569230766,0.04961538461538462,0.31884615384615383,12.457559999999999,0.5194159615384616
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,left,35.0,25,34.590276,0.716043274725275,0.08,0.08,0.8998150000000003,0.41837346153846183
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,left,45.0,25,44.5970438,0.6386684102564111,0.06,0.08,0.9092450000000021,0.5769138461538468
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,left,35.0,25,35.4335186,0.8323127692307695,0.08,0.1,1.0372850000000007,0.4783526923076924
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,left,25.0,35,25.374567857142857,0.984002187301587,0.05714285714285714,0.07142857142857142,1.104519999999999,0.5274386111111112
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,left,25.0,0,,,,,,
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,right,15.0,12,14.28239812,4.828821717948715,0.12,0.16,1.227409999999999,0.36355307692307715
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,right,25.0,38,22.10122020769231,25.281650738461536,0.04961538461538462,0.31884615384615383,12.466165,0.3731903846153847
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,right,35.0,25,34.6578402,0.6871150989010995,0.08,0.08,0.8638450000000013,0.3602888461538468
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,right,45.0,25,44.64484759999999,0.6090270085470084,0.08,0.08,0.8735749999999989,0.396331538461539
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,right,35.0,25,35.398748600000005,0.6158005934065932,0.08,0.08,0.6688949999999991,0.3446280769230772
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,right,25.0,35,25.261489,0.8553862317460319,0.05714285714285714,0.07142857142857142,1.056165,0.2639247222222225
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,A,right,25.0,0,,,,,,
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,B,left,15.0,0,,,,,,
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,B,left,25.0,32,19.364038780241934,2.454785891935484,0.031754032258064516,0.5871975806451613,0.9921550000000003,1.0502093750000001
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,B,left,35.0,14,34.340023571428574,1.03943318367347,0.14285714285714285,0.14285714285714285,1.0406450000000014,0.5892421428571433
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,B,left,45.0,15,44.19260133333333,0.8111591944444441,0.13333333333333333,0.13333333333333333,0.8237099999999984,0.5017643750000005
2026-03-24 20:12:34,manual-check,L100/20/0 R105/20/0,B,left,35.0,16,35.7863296875,1.0337925,0.125,0.15625,1.0695499999999996,0.47543875000000035
