timestamp,wheel,pwm_command,steady_encoder,peak_encoder,sample_count,repeat_count,stop_flag_seen,deadzone_break_pwm
2026-03-24 21:13:02,left,0,0.000,0.000,6,2,0,
2026-03-24 21:13:05,left,500,0.000,0.000,6,2,0,
2026-03-24 21:13:08,left,1000,0.000,0.000,7,2,0,
2026-03-24 21:13:11,left,1500,0.000,0.016,7,2,0,
2026-03-24 21:13:13,left,2000,23.854,24.325,7,2,0,2000
2026-03-24 21:13:16,left,2500,30.861,31.377,6,2,0,
2026-03-24 21:13:19,left,3000,37.766,38.429,7,2,0,
2026-03-24 21:13:22,left,3500,44.670,45.103,7,2,0,
2026-03-24 21:13:25,left,4000,50.114,50.443,7,2,0,
