timestamp,wheel,pwm_command,steady_encoder,peak_encoder,sample_count,repeat_count,stop_flag_seen,deadzone_break_pwm
2026-04-07 21:02:33,left,0,0.000,0.000,10,2,0,
2026-04-07 21:02:36,left,500,0.000,0.000,10,2,0,
2026-04-07 21:02:39,left,1000,0.000,0.000,9,2,0,
2026-04-07 21:02:42,left,1500,15.732,16.640,10,2,0,1500
2026-04-07 21:02:46,left,2000,21.288,22.747,14,2,0,
2026-04-07 21:02:49,left,2500,27.262,28.423,9,2,0,
2026-04-07 21:02:52,left,3000,32.312,33.945,10,2,0,
2026-04-07 21:02:56,left,3500,38.614,39.542,10,2,0,
2026-04-07 21:02:59,left,4000,43.377,44.672,8,2,0,
2026-04-07 21:03:02,left,4500,48.165,49.995,8,2,0,
2026-04-07 21:03:05,left,5000,53.990,55.670,10,2,0,
2026-04-07 21:03:08,left,5500,59.891,60.838,8,2,0,
2026-04-07 21:03:11,left,6000,65.766,66.427,10,2,0,
2026-04-07 21:03:14,left,6500,69.566,70.558,9,2,0,
2026-04-07 21:03:18,left,7000,74.925,76.012,10,2,0,
2026-04-07 21:03:21,left,7500,78.984,80.365,8,2,0,
2026-04-07 21:03:24,left,8000,82.912,84.734,15,2,0,
2026-04-07 21:03:28,left,8500,88.106,89.457,22,2,0,
2026-04-07 21:03:31,left,9000,93.139,94.107,10,2,0,
2026-04-07 21:03:34,left,9500,94.053,96.818,10,2,0,
2026-04-07 21:03:37,left,10000,99.805,100.649,10,2,0,
2026-04-07 21:03:40,right,0,0.000,0.000,10,2,0,
2026-04-07 21:03:44,right,500,0.000,0.000,15,2,0,
2026-04-07 21:03:47,right,1000,0.000,0.000,25,2,0,
2026-04-07 21:03:51,right,1500,0.000,0.000,10,2,0,
2026-04-07 21:03:54,right,2000,20.392,20.781,10,2,0,2000
2026-04-07 21:03:57,right,2500,26.195,26.662,9,2,0,
2026-04-07 21:04:00,right,3000,31.464,32.196,8,2,0,
2026-04-07 21:04:03,right,3500,36.875,37.627,8,2,0,
2026-04-07 21:04:06,right,4000,43.170,43.872,20,2,0,
2026-04-07 21:04:10,right,4500,48.803,50.153,18,2,0,
2026-04-07 21:04:13,right,5000,54.968,55.849,12,2,0,
2026-04-07 21:04:16,right,5500,60.362,61.501,10,2,0,
2026-04-07 21:04:19,right,6000,65.997,67.061,10,2,0,
2026-04-07 21:04:23,right,6500,71.919,74.028,20,2,0,
2026-04-07 21:04:26,right,7000,76.143,78.211,10,2,0,
2026-04-07 21:04:29,right,7500,82.169,83.420,10,2,0,
2026-04-07 21:04:32,right,8000,86.921,88.716,10,2,0,
2026-04-07 21:04:36,right,8500,92.416,93.168,10,2,0,
2026-04-07 21:04:39,right,9000,99.008,99.890,13,2,0,
2026-04-07 21:04:42,right,9500,103.211,103.592,10,2,0,
2026-04-07 21:04:45,right,10000,110.153,110.654,11,2,0,
