timestamp,wheel,pwm_command,steady_encoder,peak_encoder,sample_count,repeat_count,stop_flag_seen,deadzone_break_pwm
2026-03-24 21:17:43,left,0,0.000,0.000,6,2,0,
2026-03-24 21:17:46,left,500,0.000,0.000,7,2,0,
2026-03-24 21:17:49,left,1000,0.000,0.000,7,2,0,
2026-03-24 21:17:51,left,1500,0.000,0.000,8,2,0,
2026-03-24 21:17:54,left,2000,25.118,25.285,6,2,0,2000
2026-03-24 21:17:57,left,2500,31.782,32.499,7,2,0,
2026-03-24 21:18:00,left,3000,38.185,39.253,6,2,0,
2026-03-24 21:18:03,left,3500,44.832,45.684,6,2,0,
2026-03-24 21:18:06,left,4000,50.974,51.011,6,2,0,
2026-03-24 21:18:12,right,0,0.000,0.000,7,2,0,
2026-03-24 21:18:15,right,500,0.000,0.000,7,2,0,
2026-03-24 21:18:18,right,1000,0.000,0.000,7,2,0,
2026-03-24 21:18:21,right,1500,0.000,0.000,6,2,0,
2026-03-24 21:18:24,right,2000,22.060,22.235,6,2,0,2000
2026-03-24 21:18:27,right,2500,29.847,30.306,7,2,0,
2026-03-24 21:18:30,right,3000,37.474,38.135,7,2,0,
2026-03-24 21:18:33,right,3500,44.134,45.078,7,2,0,
2026-03-24 21:18:36,right,4000,52.675,52.811,6,2,0,
