timestamp,wheel,pwm_command,steady_encoder,peak_encoder,sample_count,repeat_count,stop_flag_seen,deadzone_break_pwm
2026-04-07 20:59:35,left,0,0.000,0.000,10,2,0,
2026-04-07 20:59:38,left,500,0.000,0.000,8,2,0,
2026-04-07 20:59:41,left,1000,0.000,0.000,17,2,0,
2026-04-07 20:59:44,left,1500,0.000,0.006,8,2,0,
2026-04-07 20:59:47,left,2000,21.030,21.840,8,2,0,2000
2026-04-07 20:59:51,left,2500,26.428,27.829,12,2,0,
2026-04-07 20:59:54,left,3000,31.750,33.551,12,2,0,
2026-04-07 20:59:57,left,3500,37.292,38.439,10,2,0,
2026-04-07 21:00:00,left,4000,43.096,44.155,10,2,0,
2026-04-07 21:00:03,left,4500,48.613,48.944,11,2,0,
2026-04-07 21:00:06,left,5000,54.149,54.463,8,2,0,
2026-04-07 21:00:09,left,5500,59.503,60.918,15,2,0,
2026-04-07 21:00:12,left,6000,64.628,66.224,20,2,0,
2026-04-07 21:00:16,left,6500,69.784,71.490,10,2,0,
2026-04-07 21:00:19,left,7000,74.022,75.948,8,2,0,
2026-04-07 21:00:22,left,7500,78.954,80.460,10,2,0,
2026-04-07 21:00:25,left,8000,84.323,85.148,10,2,0,
2026-04-07 21:00:28,left,8500,88.615,90.220,34,2,0,
2026-04-07 21:00:31,left,9000,92.960,94.618,8,2,0,
2026-04-07 21:00:34,left,9500,96.917,97.579,10,2,0,
2026-04-07 21:00:37,left,10000,98.082,99.167,8,2,0,
2026-04-07 21:00:40,right,0,0.000,0.000,9,2,0,
2026-04-07 21:00:43,right,500,0.000,0.000,10,2,0,
2026-04-07 21:00:46,right,1000,0.000,0.000,9,2,0,
2026-04-07 21:00:49,right,1500,0.000,0.000,12,2,0,
2026-04-07 21:00:52,right,2000,18.418,18.998,12,2,0,2000
2026-04-07 21:00:55,right,2500,24.477,25.131,10,2,0,
2026-04-07 21:00:59,right,3000,30.903,31.581,19,2,0,
2026-04-07 21:01:02,right,3500,36.457,37.325,22,2,0,
2026-04-07 21:01:05,right,4000,42.101,43.217,10,2,0,
2026-04-07 21:01:08,right,4500,48.723,49.911,23,2,0,
2026-04-07 21:01:12,right,5000,54.448,55.788,24,2,0,
2026-04-07 21:01:15,right,5500,60.132,61.539,12,2,0,
2026-04-07 21:01:18,right,6000,66.333,67.460,16,2,0,
2026-04-07 21:01:21,right,6500,72.048,74.025,10,2,0,
2026-04-07 21:01:24,right,7000,78.022,79.303,13,2,0,
2026-04-07 21:01:27,right,7500,83.037,84.470,12,2,0,
2026-04-07 21:01:31,right,8000,89.000,89.814,10,2,0,
2026-04-07 21:01:34,right,8500,93.327,94.288,20,2,0,
2026-04-07 21:01:37,right,9000,97.214,97.227,6,2,0,
2026-04-07 21:01:41,right,9500,103.453,104.822,20,2,0,
2026-04-07 21:01:44,right,10000,109.477,111.054,9,2,0,
